

     Summary: group layer ops

group_layer,group_conv_ops,ic,ih,iw,iact_size,oc,oh,ow,oact_size
Shortcut_0,PartSlice_G_EXPAND_2,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_2.G_IR_2,LayerType.Conv2d,6389760,1,1,64,32,1,15,208,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_3.G_swap_2,LayerType.Conv2d,49840128,3,3,32,64,1,13,208,r * s * c * (k // g) * h * w
Shortcut_0,Shortcut_0.G_swap_2,LayerType.Add,0,,,,,,13,208,
Shortcut_0,PartSlice_G_SQUEZZE_2,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,PartSlice_G_EXPAND_3,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_2.G_IR_3,LayerType.Conv2d,6389760,1,1,64,32,1,15,208,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_3.G_swap_3,LayerType.Conv2d,49840128,3,3,32,64,1,13,208,r * s * c * (k // g) * h * w
Shortcut_0,Shortcut_0.G_swap_3,LayerType.Add,0,,,,,,13,208,
Shortcut_0,PartSlice_G_SQUEZZE_3,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,PartSlice_G_EXPAND_4,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_2.G_IR_4,LayerType.Conv2d,6389760,1,1,64,32,1,15,208,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_3.G_swap_4,LayerType.Conv2d,49840128,3,3,32,64,1,13,208,r * s * c * (k // g) * h * w
Shortcut_0,Shortcut_0.G_swap_4,LayerType.Add,0,,,,,,13,208,
Shortcut_0,PartSlice_G_SQUEZZE_4,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,PartSlice_G_EXPAND_5,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_2.G_IR_5,LayerType.Conv2d,6389760,1,1,64,32,1,15,208,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_3.G_swap_5,LayerType.Conv2d,49840128,3,3,32,64,1,13,208,r * s * c * (k // g) * h * w
Shortcut_0,Shortcut_0.G_swap_5,LayerType.Add,0,,,,,,13,208,
Shortcut_0,PartSlice_G_SQUEZZE_5,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,PartSlice_G_EXPAND_6,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_2.G_IR_6,LayerType.Conv2d,6389760,1,1,64,32,1,15,208,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_3.G_swap_6,LayerType.Conv2d,49840128,3,3,32,64,1,13,208,r * s * c * (k // g) * h * w
Shortcut_0,Shortcut_0.G_swap_6,LayerType.Add,0,,,,,,13,208,
Shortcut_0,PartSlice_G_SQUEZZE_6,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,PartSlice_G_EXPAND_7,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_2.G_IR_7,LayerType.Conv2d,6389760,1,1,64,32,1,15,208,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_3.G_swap_7,LayerType.Conv2d,49840128,3,3,32,64,1,13,208,r * s * c * (k // g) * h * w
Shortcut_0,Shortcut_0.G_swap_7,LayerType.Add,0,,,,,,13,208,
Shortcut_0,PartSlice_G_SQUEZZE_7,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,PartSlice_G_EXPAND_8,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_2.G_IR_8,LayerType.Conv2d,6389760,1,1,64,32,1,15,208,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_3.G_swap_8,LayerType.Conv2d,49840128,3,3,32,64,1,13,208,r * s * c * (k // g) * h * w
Shortcut_0,Shortcut_0.G_swap_8,LayerType.Add,0,,,,,,13,208,
Shortcut_0,PartSlice_G_SQUEZZE_8,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,PartSlice_G_EXPAND_9,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_2.G_IR_9,LayerType.Conv2d,6389760,1,1,64,32,1,15,208,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_3.G_swap_9,LayerType.Conv2d,49840128,3,3,32,64,1,13,208,r * s * c * (k // g) * h * w
Shortcut_0,Shortcut_0.G_swap_9,LayerType.Add,0,,,,,,13,208,
